Datetime,Predicted_Attendance_Percent,Hazard_Level
2025-05-07 00:00:00,,
2025-05-07 00:10:00,,
2025-05-07 00:20:00,,
2025-05-07 00:30:00,,
2025-05-07 00:40:00,,
2025-05-07 00:50:00,,
2025-05-07 01:00:00,,
2025-05-07 01:10:00,,
2025-05-07 01:20:00,,
2025-05-07 01:30:00,,
2025-05-07 01:40:00,,
2025-05-07 01:50:00,,
2025-05-07 02:00:00,,
2025-05-07 02:10:00,,
2025-05-07 02:20:00,,
2025-05-07 02:30:00,,
2025-05-07 02:40:00,,
2025-05-07 02:50:00,,
2025-05-07 03:00:00,,
2025-05-07 03:10:00,,
2025-05-07 03:20:00,,
2025-05-07 03:30:00,,
2025-05-07 03:40:00,,
2025-05-07 03:50:00,,
2025-05-07 04:00:00,,
2025-05-07 04:10:00,,
2025-05-07 04:20:00,,
2025-05-07 04:30:00,,
2025-05-07 04:40:00,,
2025-05-07 04:50:00,,
2025-05-07 05:00:00,,
2025-05-07 05:10:00,,
2025-05-07 05:20:00,,
2025-05-07 05:30:00,,
2025-05-07 05:40:00,,
2025-05-07 05:50:00,,
2025-05-07 06:00:00,,
2025-05-07 06:10:00,,
2025-05-07 06:20:00,,
2025-05-07 06:30:00,,
2025-05-07 06:40:00,,
2025-05-07 06:50:00,,
2025-05-07 07:00:00,,
2025-05-07 07:10:00,,
2025-05-07 07:20:00,,
2025-05-07 07:30:00,,
2025-05-07 07:40:00,,
2025-05-07 07:50:00,,
2025-05-07 08:00:00,18.584527730658255,1.0
2025-05-07 08:10:00,20.394431773610666,2.0
2025-05-07 08:20:00,22.550566174912593,2.0
2025-05-07 08:30:00,22.550566174912593,2.0
2025-05-07 08:40:00,22.550566174912593,2.0
2025-05-07 08:50:00,22.68805572807989,2.0
2025-05-07 09:00:00,23.018051418615347,2.0
2025-05-07 09:10:00,23.018051418615347,2.0
2025-05-07 09:20:00,23.061600634402527,2.0
2025-05-07 09:30:00,24.089182112342804,2.0
2025-05-07 09:40:00,24.089182112342804,2.0
2025-05-07 09:50:00,24.251905378197677,2.0
2025-05-07 10:00:00,24.360381326554084,2.0
2025-05-07 10:10:00,24.360381326554084,2.0
2025-05-07 10:20:00,25.106832678980776,2.0
2025-05-07 10:30:00,25.106832678980776,2.0
2025-05-07 10:40:00,25.106832678980776,2.0
2025-05-07 10:50:00,26.34533597854507,2.0
2025-05-07 11:00:00,28.25551551932693,2.0
2025-05-07 11:10:00,28.25551551932693,2.0
2025-05-07 11:20:00,32.91163148476928,2.0
2025-05-07 11:30:00,32.91163148476928,2.0
2025-05-07 11:40:00,34.134962789432095,2.0
2025-05-07 11:50:00,34.782703001333196,2.0
2025-05-07 12:00:00,38.21849517309357,2.0
2025-05-07 12:10:00,38.21849517309357,2.0
2025-05-07 12:20:00,38.21849517309357,2.0
2025-05-07 12:30:00,39.518196701365255,2.0
2025-05-07 12:40:00,43.60265615002704,2.0
2025-05-07 12:50:00,43.60265615002704,2.0
2025-05-07 13:00:00,45.77677825960904,2.0
2025-05-07 13:10:00,47.501499121874474,2.0
2025-05-07 13:20:00,47.501499121874474,2.0
2025-05-07 13:30:00,47.501499121874474,2.0
2025-05-07 13:40:00,49.97947431187122,2.0
2025-05-07 13:50:00,49.97947431187122,2.0
2025-05-07 14:00:00,51.1927584328017,3.0
2025-05-07 14:10:00,51.1927584328017,3.0
2025-05-07 14:20:00,51.1927584328017,3.0
2025-05-07 14:30:00,51.1927584328017,3.0
2025-05-07 14:40:00,51.1927584328017,3.0
2025-05-07 14:50:00,51.1927584328017,3.0
2025-05-07 15:00:00,51.1927584328017,3.0
2025-05-07 15:10:00,51.1927584328017,3.0
2025-05-07 15:20:00,51.1927584328017,3.0
2025-05-07 15:30:00,51.1927584328017,3.0
2025-05-07 15:40:00,51.1927584328017,3.0
2025-05-07 15:50:00,51.06840922145008,3.0
2025-05-07 16:00:00,51.06840922145008,3.0
2025-05-07 16:10:00,50.75836671042856,3.0
2025-05-07 16:20:00,50.425080094864015,3.0
2025-05-07 16:30:00,50.425080094864015,3.0
2025-05-07 16:40:00,49.89005250798926,2.0
2025-05-07 16:50:00,48.962767420580704,2.0
2025-05-07 17:00:00,47.60100963535666,2.0
2025-05-07 17:10:00,45.85233872879434,2.0
2025-05-07 17:20:00,45.13208085567648,2.0
2025-05-07 17:30:00,42.17924283247562,2.0
2025-05-07 17:40:00,42.17924283247562,2.0
2025-05-07 17:50:00,39.14955288559856,2.0
2025-05-07 18:00:00,35.95416019184659,2.0
2025-05-07 18:10:00,35.95416019184659,2.0
2025-05-07 18:20:00,33.25778904308168,2.0
2025-05-07 18:30:00,29.187054931899272,2.0
2025-05-07 18:40:00,28.337692097411416,2.0
2025-05-07 18:50:00,23.69531756072224,2.0
2025-05-07 19:00:00,23.17723719960062,2.0
2025-05-07 19:10:00,20.028057346523337,2.0
2025-05-07 19:20:00,15.88190680900982,1.0
2025-05-07 19:30:00,13.304405533330414,1.0
2025-05-07 19:40:00,11.821528730202083,1.0
2025-05-07 19:50:00,11.821528730202083,1.0
2025-05-07 20:00:00,9.92417497278675,1.0
2025-05-07 20:10:00,9.92417497278675,1.0
2025-05-07 20:20:00,9.92417497278675,1.0
2025-05-07 20:30:00,9.92417497278675,1.0
2025-05-07 20:40:00,9.92417497278675,1.0
2025-05-07 20:50:00,9.92417497278675,1.0
2025-05-07 21:00:00,,
2025-05-07 21:10:00,,
2025-05-07 21:20:00,,
2025-05-07 21:30:00,,
2025-05-07 21:40:00,,
2025-05-07 21:50:00,,
2025-05-07 22:00:00,,
2025-05-07 22:10:00,,
2025-05-07 22:20:00,,
2025-05-07 22:30:00,,
2025-05-07 22:40:00,,
2025-05-07 22:50:00,,
2025-05-07 23:00:00,,
2025-05-07 23:10:00,,
2025-05-07 23:20:00,,
2025-05-07 23:30:00,,
2025-05-07 23:40:00,,
2025-05-07 23:50:00,,
2025-05-08 00:00:00,,
2025-05-08 00:10:00,,
2025-05-08 00:20:00,,
2025-05-08 00:30:00,,
2025-05-08 00:40:00,,
2025-05-08 00:50:00,,
2025-05-08 01:00:00,,
2025-05-08 01:10:00,,
2025-05-08 01:20:00,,
2025-05-08 01:30:00,,
2025-05-08 01:40:00,,
2025-05-08 01:50:00,,
2025-05-08 02:00:00,,
2025-05-08 02:10:00,,
2025-05-08 02:20:00,,
2025-05-08 02:30:00,,
2025-05-08 02:40:00,,
2025-05-08 02:50:00,,
2025-05-08 03:00:00,,
2025-05-08 03:10:00,,
2025-05-08 03:20:00,,
2025-05-08 03:30:00,,
2025-05-08 03:40:00,,
2025-05-08 03:50:00,,
2025-05-08 04:00:00,,
2025-05-08 04:10:00,,
2025-05-08 04:20:00,,
2025-05-08 04:30:00,,
2025-05-08 04:40:00,,
2025-05-08 04:50:00,,
2025-05-08 05:00:00,,
2025-05-08 05:10:00,,
2025-05-08 05:20:00,,
2025-05-08 05:30:00,,
2025-05-08 05:40:00,,
2025-05-08 05:50:00,,
2025-05-08 06:00:00,,
2025-05-08 06:10:00,,
2025-05-08 06:20:00,,
2025-05-08 06:30:00,,
2025-05-08 06:40:00,,
2025-05-08 06:50:00,,
2025-05-08 07:00:00,,
2025-05-08 07:10:00,,
2025-05-08 07:20:00,,
2025-05-08 07:30:00,,
2025-05-08 07:40:00,,
2025-05-08 07:50:00,,
2025-05-08 08:00:00,10.204732041323656,1.0
2025-05-08 08:10:00,10.935488691987006,1.0
2025-05-08 08:20:00,11.685112620719352,1.0
2025-05-08 08:30:00,11.685112620719352,1.0
2025-05-08 08:40:00,11.685112620719352,1.0
2025-05-08 08:50:00,11.720983184463105,1.0
2025-05-08 09:00:00,12.028922410276765,1.0
2025-05-08 09:10:00,12.028922410276765,1.0
2025-05-08 09:20:00,12.028922410276765,1.0
2025-05-08 09:30:00,12.647150447415791,1.0
2025-05-08 09:40:00,12.647150447415791,1.0
2025-05-08 09:50:00,12.647150447415791,1.0
2025-05-08 10:00:00,12.755626914845543,1.0
2025-05-08 10:10:00,12.755626914845543,1.0
2025-05-08 10:20:00,13.469513162611337,1.0
2025-05-08 10:30:00,13.469513162611337,1.0
2025-05-08 10:40:00,13.469513162611337,1.0
2025-05-08 10:50:00,13.871785145256531,1.0
2025-05-08 11:00:00,15.123364291772962,1.0
2025-05-08 11:10:00,15.123364291772962,1.0
2025-05-08 11:20:00,15.916035816785396,1.0
2025-05-08 11:30:00,16.497829479198014,1.0
2025-05-08 11:40:00,16.94310107628065,1.0
2025-05-08 11:50:00,16.91880586037283,1.0
2025-05-08 12:00:00,19.873453425984717,1.0
2025-05-08 12:10:00,19.873453425984717,1.0
2025-05-08 12:20:00,19.873453425984717,1.0
2025-05-08 12:30:00,21.435937653659444,2.0
2025-05-08 12:40:00,25.8634563118168,2.0
2025-05-08 12:50:00,25.8634563118168,2.0
2025-05-08 13:00:00,27.708398714167082,2.0
2025-05-08 13:10:00,29.828725100063743,2.0
2025-05-08 13:20:00,29.828725100063743,2.0
2025-05-08 13:30:00,30.220154159533433,2.0
2025-05-08 13:40:00,31.80394556955148,2.0
2025-05-08 13:50:00,31.80394556955148,2.0
2025-05-08 14:00:00,32.77396596573686,2.0
2025-05-08 14:10:00,32.77396596573686,2.0
2025-05-08 14:20:00,32.77396596573686,2.0
2025-05-08 14:30:00,32.87943544125912,2.0
2025-05-08 14:40:00,32.87943544125912,2.0
2025-05-08 14:50:00,32.87943544125912,2.0
2025-05-08 15:00:00,32.87943544125912,2.0
2025-05-08 15:10:00,32.87943544125912,2.0
2025-05-08 15:20:00,32.87943544125912,2.0
2025-05-08 15:30:00,32.87943544125912,2.0
2025-05-08 15:40:00,32.408310974310474,2.0
2025-05-08 15:50:00,32.238357016711866,2.0
2025-05-08 16:00:00,32.238357016711866,2.0
2025-05-08 16:10:00,32.13060465660318,2.0
2025-05-08 16:20:00,32.23899547693044,2.0
2025-05-08 16:30:00,32.23899547693044,2.0
2025-05-08 16:40:00,31.711741532521888,2.0
2025-05-08 16:50:00,30.223190738621792,2.0
2025-05-08 17:00:00,29.41266393391731,2.0
2025-05-08 17:10:00,29.235317333690258,2.0
2025-05-08 17:20:00,28.413219345902423,2.0
2025-05-08 17:30:00,25.25869018243282,2.0
2025-05-08 17:40:00,25.25869018243282,2.0
2025-05-08 17:50:00,22.687781138278563,2.0
2025-05-08 18:00:00,20.4735364756191,2.0
2025-05-08 18:10:00,20.4735364756191,2.0
2025-05-08 18:20:00,18.556938203578795,1.0
2025-05-08 18:30:00,15.090727165684964,1.0
2025-05-08 18:40:00,15.087793492887934,1.0
2025-05-08 18:50:00,12.15175956096438,1.0
2025-05-08 19:00:00,11.96597386623844,1.0
2025-05-08 19:10:00,10.833684912451416,1.0
2025-05-08 19:20:00,10.005664816831253,1.0
2025-05-08 19:30:00,8.213348146838928,1.0
2025-05-08 19:40:00,7.679967060625422,1.0
2025-05-08 19:50:00,7.679967060625422,1.0
2025-05-08 20:00:00,7.348027959473418,1.0
2025-05-08 20:10:00,7.348027959473418,1.0
2025-05-08 20:20:00,7.348027959473418,1.0
2025-05-08 20:30:00,7.348027959473418,1.0
2025-05-08 20:40:00,7.348027959473418,1.0
2025-05-08 20:50:00,7.348027959473418,1.0
2025-05-08 21:00:00,,
2025-05-08 21:10:00,,
2025-05-08 21:20:00,,
2025-05-08 21:30:00,,
2025-05-08 21:40:00,,
2025-05-08 21:50:00,,
2025-05-08 22:00:00,,
2025-05-08 22:10:00,,
2025-05-08 22:20:00,,
2025-05-08 22:30:00,,
2025-05-08 22:40:00,,
2025-05-08 22:50:00,,
2025-05-08 23:00:00,,
2025-05-08 23:10:00,,
2025-05-08 23:20:00,,
2025-05-08 23:30:00,,
2025-05-08 23:40:00,,
2025-05-08 23:50:00,,
2025-05-09 00:00:00,,
2025-05-09 00:10:00,,
2025-05-09 00:20:00,,
2025-05-09 00:30:00,,
2025-05-09 00:40:00,,
2025-05-09 00:50:00,,
2025-05-09 01:00:00,,
2025-05-09 01:10:00,,
2025-05-09 01:20:00,,
2025-05-09 01:30:00,,
2025-05-09 01:40:00,,
2025-05-09 01:50:00,,
2025-05-09 02:00:00,,
2025-05-09 02:10:00,,
2025-05-09 02:20:00,,
2025-05-09 02:30:00,,
2025-05-09 02:40:00,,
2025-05-09 02:50:00,,
2025-05-09 03:00:00,,
2025-05-09 03:10:00,,
2025-05-09 03:20:00,,
2025-05-09 03:30:00,,
2025-05-09 03:40:00,,
2025-05-09 03:50:00,,
2025-05-09 04:00:00,,
2025-05-09 04:10:00,,
2025-05-09 04:20:00,,
2025-05-09 04:30:00,,
2025-05-09 04:40:00,,
2025-05-09 04:50:00,,
2025-05-09 05:00:00,,
2025-05-09 05:10:00,,
2025-05-09 05:20:00,,
