Date,Heure,Hauteur (m),Hauteur relative à 2.4m
2025-04-30,00:00,"0,29","-2,11"
2025-04-30,00:10,"0,29","-2,11"
2025-04-30,00:20,"0,29","-2,11"
2025-04-30,00:30,"0,29","-2,11"
2025-04-30,00:40,"0,29","-2,11"
2025-04-30,00:50,"0,30","-2,10"
2025-04-30,01:00,"0,32","-2,08"
2025-04-30,01:10,"0,36","-2,04"
2025-04-30,01:20,"0,41","-1,99"
2025-04-30,01:30,"0,47","-1,93"
2025-04-30,01:40,"0,55","-1,85"
2025-04-30,01:50,"0,64","-1,76"
2025-04-30,02:00,"0,74","-1,66"
2025-04-30,02:10,"0,85","-1,55"
2025-04-30,02:20,"0,97","-1,43"
2025-04-30,02:30,"1,10","-1,30"
2025-04-30,02:40,"1,24","-1,16"
2025-04-30,02:50,"1,39","-1,01"
2025-04-30,03:00,"1,55","-0,85"
2025-04-30,03:10,"1,71","-0,69"
2025-04-30,03:20,"1,87","-0,53"
2025-04-30,03:30,"2,04","-0,36"
2025-04-30,03:40,"2,21","-0,19"
2025-04-30,03:50,"2,38","-0,02"
2025-04-30,04:00,"2,55","0,15"
2025-04-30,04:10,"2,72","0,32"
2025-04-30,04:20,"2,89","0,49"
2025-04-30,04:30,"3,05","0,65"
2025-04-30,04:40,"3,21","0,81"
2025-04-30,04:50,"3,37","0,97"
2025-04-30,05:00,"3,51","1,11"
2025-04-30,05:10,"3,65","1,25"
2025-04-30,05:20,"3,78","1,38"
2025-04-30,05:30,"3,90","1,50"
2025-04-30,05:40,"4,01","1,61"
2025-04-30,05:50,"4,11","1,71"
2025-04-30,06:00,"4,20","1,80"
2025-04-30,06:10,"4,27","1,87"
2025-04-30,06:20,"4,33","1,93"
2025-04-30,06:30,"4,38","1,98"
2025-04-30,06:40,"4,41","2,01"
2025-04-30,06:50,"4,43","2,03"
2025-04-30,07:00,"4,44","2,04"
2025-04-30,07:10,"4,43","2,03"
2025-04-30,07:20,"4,41","2,01"
2025-04-30,07:30,"4,37","1,97"
2025-04-30,07:40,"4,31","1,91"
2025-04-30,07:50,"4,25","1,85"
2025-04-30,08:00,"4,17","1,77"
2025-04-30,08:10,"4,07","1,67"
2025-04-30,08:20,"3,97","1,57"
2025-04-30,08:30,"3,85","1,45"
2025-04-30,08:40,"3,72","1,32"
2025-04-30,08:50,"3,58","1,18"
2025-04-30,09:00,"3,44","1,04"
2025-04-30,09:10,"3,28","0,88"
2025-04-30,09:20,"3,12","0,72"
2025-04-30,09:30,"2,96","0,56"
2025-04-30,09:40,"2,79","0,39"
2025-04-30,09:50,"2,62","0,22"
2025-04-30,10:00,"2,45","0,05"
