beach;date;hour;hs;tpic;dir
Biscarosse;2023-01-01;0;2.587890;13.15900;265
Biscarosse;2023-01-01;1;2.576170;13.13950;266
Biscarosse;2023-01-01;2;2.542970;13.11220;267
Biscarosse;2023-01-01;3;2.500000;13.09650;269
Biscarosse;2023-01-01;4;2.439450;13.08870;270
Biscarosse;2023-01-01;5;2.380860;13.03400;270
Biscarosse;2023-01-01;6;2.337890;12.79570;271
Biscarosse;2023-01-01;7;2.300780;12.43640;272
Biscarosse;2023-01-01;8;2.257810;12.29970;272
Biscarosse;2023-01-01;9;2.214840;12.26060;273
Biscarosse;2023-01-01;10;2.177730;12.23320;273
Biscarosse;2023-01-01;11;2.154300;12.19420;272
Biscarosse;2023-01-01;12;2.146480;12.17070;271
Biscarosse;2023-01-01;13;2.146480;12.16290;269
Biscarosse;2023-01-01;14;2.143550;12.15900;269
Biscarosse;2023-01-01;15;2.148440;12.16290;269
Biscarosse;2023-01-01;16;2.167970;12.19420;270
Biscarosse;2023-01-01;17;2.194340;12.25670;270
Biscarosse;2023-01-01;18;2.211910;12.30360;271
Biscarosse;2023-01-01;19;2.236330;12.33870;271
Biscarosse;2023-01-01;20;2.274410;12.38560;272
Biscarosse;2023-01-01;21;2.333980;12.46760;272
Biscarosse;2023-01-01;22;2.402340;12.64730;272
Biscarosse;2023-01-01;23;2.475590;13.04180;273
Biscarosse;2023-01-02;0;2.545900;13.79570;274
Biscarosse;2023-01-02;1;2.589840;13.97150;275
Biscarosse;2023-01-02;2;2.603520;13.84260;275
Biscarosse;2023-01-02;3;2.606450;13.85820;276
Biscarosse;2023-01-02;4;2.572270;14.01840;276
Biscarosse;2023-01-02;5;2.501950;14.00280;277
Biscarosse;2023-01-02;6;2.446290;13.81530;277
Biscarosse;2023-01-02;7;2.440430;13.72930;277
Biscarosse;2023-01-02;8;2.486330;13.72150;277
Biscarosse;2023-01-02;9;2.536130;13.68250;277
Biscarosse;2023-01-02;10;2.543950;13.59650;277
Biscarosse;2023-01-02;11;2.501950;13.47930;277
Biscarosse;2023-01-02;12;2.427730;13.34650;277
Biscarosse;2023-01-02;13;2.370120;13.26450;277
Biscarosse;2023-01-02;14;2.343750;13.24110;277
Biscarosse;2023-01-02;15;2.328120;13.22540;277
Biscarosse;2023-01-02;16;2.307620;13.17470;277
Biscarosse;2023-01-02;17;2.263670;13.09260;277
Biscarosse;2023-01-02;18;2.206050;12.98720;277
Biscarosse;2023-01-02;19;2.166020;12.88950;278
Biscarosse;2023-01-02;20;2.160160;12.84650;278
Biscarosse;2023-01-02;21;2.169920;12.85040;278
Biscarosse;2023-01-02;22;2.167970;12.83090;278
Biscarosse;2023-01-02;23;2.148440;12.73320;278
Biscarosse;2023-01-03;0;2.112300;12.56140;279
Biscarosse;2023-01-03;1;2.082030;12.40510;279
Biscarosse;2023-01-03;2;2.072270;12.33480;279
Biscarosse;2023-01-03;3;2.066410;12.29970;279
Biscarosse;2023-01-03;4;2.043950;12.22540;279
Biscarosse;2023-01-03;5;2.001950;12.11220;279
Biscarosse;2023-01-03;6;1.935550;11.95590;279
Biscarosse;2023-01-03;7;1.853520;11.78400;280
Biscarosse;2023-01-03;8;1.778320;11.64340;280
Biscarosse;2023-01-03;9;1.719730;11.67070;280
Biscarosse;2023-01-03;10;1.667970;11.71370;281
Biscarosse;2023-01-03;11;1.622070;11.63170;281
Biscarosse;2023-01-03;12;1.566410;11.45980;281
Biscarosse;2023-01-03;13;1.503910;11.28790;282
Biscarosse;2023-01-03;14;1.446290;11.16680;282
Biscarosse;2023-01-03;15;1.412110;11.10040;283
Biscarosse;2023-01-03;16;1.393550;11.05750;283
Biscarosse;2023-01-03;17;1.391600;11.01060;283
Biscarosse;2023-01-03;18;1.404300;10.98320;283
Biscarosse;2023-01-03;19;1.440430;11.00670;283
Biscarosse;2023-01-03;20;1.490230;11.02230;283
Biscarosse;2023-01-03;21;1.534180;10.98720;283
Biscarosse;2023-01-03;22;1.564450;10.93640;283
Biscarosse;2023-01-03;23;1.591800;10.91680;283
Biscarosse;2023-01-04;0;1.620120;10.92860;283
Biscarosse;2023-01-04;1;1.658200;10.94420;283
Biscarosse;2023-01-04;2;1.706050;10.93250;283
Biscarosse;2023-01-04;3;1.753910;10.90120;282
Biscarosse;2023-01-04;4;1.791990;10.86220;282
Biscarosse;2023-01-04;5;1.818360;10.83090;282
Biscarosse;2023-01-04;6;1.833980;10.79180;281
Biscarosse;2023-01-04;7;1.837890;10.74500;281
Biscarosse;2023-01-04;8;1.833980;10.69030;281
Biscarosse;2023-01-04;9;1.832030;10.65120;281
Biscarosse;2023-01-04;10;1.828120;10.62000;281
Biscarosse;2023-01-04;11;1.818360;10.59260;281
Biscarosse;2023-01-04;12;1.803710;10.55750;281
Biscarosse;2023-01-04;13;1.793950;10.49890;281
Biscarosse;2023-01-04;14;1.790040;10.44420;282
Biscarosse;2023-01-04;15;1.797850;10.42860;282
Biscarosse;2023-01-04;16;1.820310;10.43640;283
Biscarosse;2023-01-04;17;1.847660;10.44810;283
Biscarosse;2023-01-04;18;1.879880;10.44810;283
Biscarosse;2023-01-04;19;1.904300;10.44810;284
Biscarosse;2023-01-04;20;1.910160;10.46760;284
Biscarosse;2023-01-04;21;1.908200;10.51450;284
Biscarosse;2023-01-04;22;1.910160;10.58090;285
Biscarosse;2023-01-04;23;1.916020;10.66290;285
Biscarosse;2023-01-05;0;1.929690;10.78010;285
Biscarosse;2023-01-05;1;1.956050;10.94810;285
Biscarosse;2023-01-05;2;1.982420;11.08090;286
Biscarosse;2023-01-05;3;2.005860;11.13560;286
Biscarosse;2023-01-05;4;2.040040;11.19030;286
Biscarosse;2023-01-05;5;2.095700;11.32310;286
Biscarosse;2023-01-05;6;2.160160;11.58480;285
